"Text","Types","Tokens","TTR"
"1789-Washington",594,1431,41.509433962264154
"1797-Adams",794,2322,34.194659776055126
"1801-Jefferson",679,1732,39.20323325635104
"1805-Jefferson",777,2168,35.83948339483395
"1809-Madison",521,1177,44.26508071367884
"1813-Madison",518,1211,42.77456647398844
"1817-Monroe",980,3378,29.01124925991711
"1821-Monroe",1204,4482,26.86300758589915
"1825-Adams",963,2917,33.01336990058279
"1829-Jackson",500,1128,44.32624113475177
"1833-Jackson",474,1177,40.27187765505523
"1837-VanBuren",1252,3846,32.553302132085285
"1841-Harrison",1800,8469,21.253985122210413
"1845-Polk",1257,4814,26.11134191940174
"1849-Taylor",481,1091,44.087992667277724
"1853-Pierce",1115,3344,33.343301435406694
"1857-Buchanan",890,2836,31.38222849083216
"1861-Lincoln",1009,3639,27.72739763671338
"1865-Lincoln",335,705,47.5177304964539
"1869-Grant",466,1132,41.1660777385159
"1873-Grant",522,1341,38.92617449664429
"1877-Hayes",801,2493,32.12996389891697
"1881-Garfield",970,2992,32.419786096256686
"1885-Cleveland",642,1690,37.98816568047337
"1889-Harrison",1302,4401,29.58418541240627
"1893-Cleveland",794,2028,39.15187376725838
"1897-McKinley",1190,3976,29.929577464788732
"1901-McKinley",818,2221,36.83025664115264
"1905-Roosevelt",383,990,38.686868686868685
"1909-Taft",1376,5442,25.284821756707093
"1913-Wilson",627,1711,36.64523670368205
"1917-Wilson",523,1531,34.160679294578706
"1921-Harding",1117,3346,33.38314405260012
"1925-Coolidge",1160,4057,28.592556075918168
"1929-Hoover",992,3573,27.76378393506857
"1933-Roosevelt",709,1883,37.65268189060011
"1937-Roosevelt",686,1825,37.589041095890416
"1941-Roosevelt",493,1350,36.51851851851852
"1945-Roosevelt",261,560,46.60714285714286
"1949-Truman",740,2284,32.399299474605954
"1953-Eisenhower",854,2470,34.5748987854251
"1957-Eisenhower",585,1664,35.15625
"1961-Kennedy",535,1370,39.05109489051095
"1965-Johnson",526,1494,35.20749665327978
"1969-Nixon",704,2131,33.0361332707649
"1973-Nixon",506,1819,27.817482133040134
"1977-Carter",493,1230,40.08130081300813
"1981-Reagan",843,2446,34.46443172526574
"1985-Reagan",863,2585,33.38491295938105
"1989-Bush",744,2337,31.835686777920415
"1993-Clinton",596,1610,37.01863354037267
"1997-Clinton",717,2171,33.0262551819438
"2001-Bush",584,1594,36.637390213299874
"2005-Bush",721,2084,34.59692898272553
"2009-Obama",889,2412,36.85737976782753
"2013-Obama",777,2125,36.564705882352946
"2017-Trump",537,1468,36.58038147138964
"2021-Biden",755,2596,29.08320493066256
